task,regime,split,difficulty,stress,tail,contact,embodiment,shortcut,horizon,scarcity,latency,alias,hazard
mobile_manipulation,long_horizon_compounding,combined_exception_stress,0.072,0.86,0.657944,0.345514,0.319603,0.470528,0.754577,0.593672,0.433344,0.37216,0.6052
mobile_manipulation,spurious_visual_shortcut,nominal_scaling,0.072,0.12,0.287872,0.11677,0.154921,0.644512,0.181379,0.184147,0.140896,0.35336,0.2912
mobile_manipulation,spurious_visual_shortcut,contact_tail_shift,0.072,0.56,0.529152,0.205958,0.178065,0.70768,0.283304,0.254627,0.171136,0.4396,0.4144
mobile_manipulation,spurious_visual_shortcut,embodiment_shift,0.072,0.6,0.408512,0.164587,0.283864,0.749792,0.294272,0.265755,0.180208,0.47096,0.4256
mobile_manipulation,spurious_visual_shortcut,shortcut_shift,0.072,0.56,0.404768,0.162792,0.187983,1.055104,0.280628,0.247208,0.171136,0.5964,0.4144
mobile_manipulation,spurious_visual_shortcut,recovery_scarcity,0.072,0.62,0.464464,0.184253,0.211127,0.81296,0.321827,0.332525,0.192304,0.49448,0.4312
mobile_manipulation,spurious_visual_shortcut,cross_robot_morphology,0.072,0.66,0.441168,0.176664,0.290477,0.834016,0.30738,0.273174,0.228592,0.51016,0.4424
mobile_manipulation,spurious_visual_shortcut,heldout_exception_composition,0.072,0.74,0.508144,0.200899,0.254108,0.981408,0.330655,0.29914,0.23464,0.61992,0.4648
mobile_manipulation,spurious_visual_shortcut,combined_exception_stress,0.072,0.86,0.551824,0.217546,0.273946,1.034048,0.360884,0.325106,0.252784,0.65128,0.4984
mobile_manipulation,recovery_scarce_failure,nominal_scaling,0.072,0.12,0.398592,0.233539,0.215168,0.36112,0.305046,0.376301,0.211344,0.232208,0.4056
mobile_manipulation,recovery_scarce_failure,contact_tail_shift,0.072,0.56,0.732672,0.411917,0.247312,0.388,0.476465,0.520324,0.256704,0.28888,0.5772
mobile_manipulation,recovery_scarce_failure,embodiment_shift,0.072,0.6,0.565632,0.329174,0.394256,0.40592,0.494912,0.543064,0.270312,0.309488,0.5928
mobile_manipulation,recovery_scarce_failure,shortcut_shift,0.072,0.56,0.560448,0.325584,0.261088,0.53584,0.471966,0.505164,0.256704,0.39192,0.5772
mobile_manipulation,recovery_scarce_failure,recovery_scarcity,0.072,0.62,0.643104,0.368506,0.293232,0.4328,0.541254,0.679507,0.288456,0.324944,0.6006
mobile_manipulation,recovery_scarce_failure,cross_robot_morphology,0.072,0.66,0.610848,0.353328,0.40344,0.44176,0.516958,0.558225,0.342888,0.335248,0.6162
mobile_manipulation,recovery_scarce_failure,heldout_exception_composition,0.072,0.74,0.703584,0.401798,0.352928,0.50448,0.556101,0.611286,0.35196,0.407376,0.6474
mobile_manipulation,recovery_scarce_failure,combined_exception_stress,0.072,0.86,0.764064,0.435091,0.38048,0.52688,0.606942,0.664347,0.379176,0.427984,0.6942
mobile_manipulation,distribution_mixture_aliasing,nominal_scaling,0.072,0.12,0.365376,0.185458,0.232381,0.560544,0.247334,0.280224,0.20128,0.474512,0.364
mobile_manipulation,distribution_mixture_aliasing,contact_tail_shift,0.072,0.56,0.671616,0.32711,0.267097,0.61296,0.386323,0.387475,0.24448,0.59032,0.518
mobile_manipulation,distribution_mixture_aliasing,embodiment_shift,0.072,0.6,0.518496,0.261403,0.425796,0.647904,0.40128,0.40441,0.25744,0.632432,0.532
mobile_manipulation,distribution_mixture_aliasing,shortcut_shift,0.072,0.56,0.513744,0.258552,0.281975,0.901248,0.382675,0.376186,0.24448,0.80088,0.518
mobile_manipulation,distribution_mixture_aliasing,recovery_scarcity,0.072,0.62,0.589512,0.292637,0.316691,0.70032,0.438854,0.506016,0.27472,0.664016,0.539
mobile_manipulation,distribution_mixture_aliasing,cross_robot_morphology,0.072,0.66,0.559944,0.280584,0.435715,0.717792,0.419155,0.415699,0.32656,0.685072,0.553
mobile_manipulation,distribution_mixture_aliasing,heldout_exception_composition,0.072,0.74,0.644952,0.319075,0.381162,0.840096,0.450893,0.455213,0.3352,0.832464,0.581
mobile_manipulation,distribution_mixture_aliasing,combined_exception_stress,0.072,0.86,0.700392,0.345514,0.410918,0.883776,0.492115,0.494726,0.36112,0.874576,0.623
mobile_manipulation,actuator_latency_shift,nominal_scaling,0.072,0.12,0.321088,0.267883,0.301235,0.329632,0.272068,0.264211,0.462944,0.212016,0.3952
mobile_manipulation,actuator_latency_shift,contact_tail_shift,0.072,0.56,0.590208,0.472493,0.346237,0.35248,0.424956,0.365334,0.562304,0.26376,0.5624
mobile_manipulation,actuator_latency_shift,embodiment_shift,0.072,0.6,0.455648,0.377582,0.551958,0.367712,0.441408,0.3813,0.592112,0.282576,0.5776
mobile_manipulation,actuator_latency_shift,shortcut_shift,0.072,0.56,0.451472,0.373464,0.365523,0.478144,0.420943,0.354689,0.562304,0.35784,0.5624
mobile_manipulation,actuator_latency_shift,recovery_scarcity,0.072,0.62,0.518056,0.422698,0.410525,0.39056,0.48274,0.477101,0.631856,0.296688,0.5852
mobile_manipulation,actuator_latency_shift,cross_robot_morphology,0.072,0.66,0.492072,0.405288,0.564816,0.398176,0.461071,0.391945,0.751088,0.306096,0.6004
mobile_manipulation,actuator_latency_shift,heldout_exception_composition,0.072,0.74,0.566776,0.460886,0.494099,0.451488,0.495982,0.429201,0.77096,0.371952,0.6308
mobile_manipulation,actuator_latency_shift,combined_exception_stress,0.072,0.86,0.615496,0.499075,0.532672,0.470528,0.541327,0.466456,0.830576,0.390768,0.6764
mobile_manipulation,mixed_exception_stress,nominal_scaling,0.072,0.12,0.487168,0.28849,0.344269,0.581536,0.354513,0.352282,0.412624,0.424032,0.468
mobile_manipulation,mixed_exception_stress,contact_tail_shift,0.072,0.56,0.895488,0.508838,0.395699,0.63664,0.55373,0.487112,0.501184,0.52752,0.666
mobile_manipulation,mixed_exception_stress,embodiment_shift,0.072,0.6,0.691328,0.406627,0.63081,0.673376,0.575168,0.508401,0.527752,0.565152,0.684
mobile_manipulation,mixed_exception_stress,shortcut_shift,0.072,0.56,0.684992,0.402192,0.417741,0.939712,0.548501,0.472919,0.501184,0.71568,0.666
mobile_manipulation,mixed_exception_stress,recovery_scarcity,0.072,0.62,0.786016,0.455213,0.469171,0.72848,0.629025,0.636134,0.563176,0.593376,0.693
mobile_manipulation,mixed_exception_stress,cross_robot_morphology,0.072,0.66,0.746592,0.436464,0.645504,0.746848,0.600789,0.522593,0.669448,0.612192,0.711
mobile_manipulation,mixed_exception_stress,heldout_exception_composition,0.072,0.74,0.859936,0.496339,0.564685,0.875424,0.64628,0.572268,0.68716,0.743904,0.747
mobile_manipulation,mixed_exception_stress,combined_exception_stress,0.072,0.86,0.933856,0.537466,0.608768,0.921344,0.705365,0.621942,0.740296,0.781536,0.801
bimanual_handoff,rare_contact_tail,nominal_scaling,0.078,0.12,0.509312,0.391522,0.119654,0.24536,0.145797,0.283782,0.130832,0.111056,0.416
bimanual_handoff,rare_contact_tail,contact_tail_shift,0.078,0.56,0.936192,0.690566,0.13753,0.2588,0.227727,0.392396,0.158912,0.13816,0.592
bimanual_handoff,rare_contact_tail,embodiment_shift,0.078,0.6,0.722752,0.551851,0.219245,0.26776,0.236544,0.409545,0.167336,0.148016,0.608
bimanual_handoff,rare_contact_tail,shortcut_shift,0.078,0.56,0.716128,0.545832,0.14519,0.33272,0.225577,0.380963,0.158912,0.18744,0.592
bimanual_handoff,rare_contact_tail,recovery_scarcity,0.078,0.62,0.821744,0.617789,0.163066,0.2812,0.258693,0.512442,0.178568,0.155408,0.616
bimanual_handoff,rare_contact_tail,cross_robot_morphology,0.078,0.66,0.780528,0.592344,0.224352,0.28568,0.247081,0.420978,0.212264,0.160336,0.632
bimanual_handoff,rare_contact_tail,heldout_exception_composition,0.078,0.74,0.899024,0.673603,0.196262,0.31704,0.265789,0.460993,0.21788,0.194832,0.664
bimanual_handoff,rare_contact_tail,combined_exception_stress,0.078,0.86,0.976304,0.729418,0.211584,0.32824,0.290089,0.501009,0.234728,0.204688,0.712
bimanual_handoff,occluded_precondition,nominal_scaling,0.078,0.12,0.254656,0.208812,0.119654,0.339824,0.180511,0.234854,0.15096,0.181728,0.3016
bimanual_handoff,occluded_precondition,contact_tail_shift,0.078,0.56,0.468096,0.368302,0.13753,0.36536,0.281948,0.324741,0.18336,0.22608,0.4292
bimanual_handoff,occluded_precondition,embodiment_shift,0.078,0.6,0.361376,0.294321,0.219245,0.382384,0.292864,0.338934,0.19308,0.242208,0.4408
bimanual_handoff,occluded_precondition,shortcut_shift,0.078,0.56,0.358064,0.29111,0.14519,0.505808,0.279286,0.315279,0.18336,0.30672,0.4292
bimanual_handoff,occluded_precondition,recovery_scarcity,0.078,0.62,0.410872,0.329487,0.163066,0.40792,0.320287,0.42409,0.20604,0.254304,0.4466
bimanual_handoff,occluded_precondition,cross_robot_morphology,0.078,0.66,0.390264,0.315917,0.224352,0.416432,0.30591,0.348396,0.24492,0.262368,0.4582
bimanual_handoff,occluded_precondition,heldout_exception_composition,0.078,0.74,0.449512,0.359255,0.196262,0.476016,0.329073,0.381512,0.2514,0.318816,0.4814
bimanual_handoff,occluded_precondition,combined_exception_stress,0.078,0.86,0.488152,0.389023,0.211584,0.497296,0.359158,0.414628,0.27084,0.334944,0.5162
bimanual_handoff,embodiment_mismatch,nominal_scaling,0.078,0.12,0.298944,0.269715,0.36694,0.339824,0.145797,0.303354,0.181152,0.222112,0.3744
bimanual_handoff,embodiment_mismatch,contact_tail_shift,0.078,0.56,0.549504,0.475724,0.421757,0.36536,0.227727,0.419457,0.220032,0.27632,0.5328
bimanual_handoff,embodiment_mismatch,embodiment_shift,0.078,0.6,0.424224,0.380164,0.672351,0.382384,0.236544,0.437789,0.231696,0.296032,0.5472
bimanual_handoff,embodiment_mismatch,shortcut_shift,0.078,0.56,0.420336,0.376018,0.445251,0.505808,0.225577,0.407236,0.220032,0.37488,0.5328
bimanual_handoff,embodiment_mismatch,recovery_scarcity,0.078,0.62,0.482328,0.425588,0.500068,0.40792,0.258693,0.547782,0.247248,0.310816,0.5544
bimanual_handoff,embodiment_mismatch,cross_robot_morphology,0.078,0.66,0.458136,0.408059,0.688013,0.416432,0.247081,0.450011,0.293904,0.320672,0.5688
bimanual_handoff,embodiment_mismatch,heldout_exception_composition,0.078,0.74,0.527688,0.464038,0.601871,0.476016,0.265789,0.492786,0.30168,0.389664,0.5976
bimanual_handoff,embodiment_mismatch,combined_exception_stress,0.078,0.86,0.573048,0.502488,0.648858,0.497296,0.290089,0.535561,0.325008,0.409376,0.6408
bimanual_handoff,long_horizon_compounding,nominal_scaling,0.078,0.12,0.343232,0.234913,0.167516,0.318832,0.319365,0.410995,0.241536,0.20192,0.3536
bimanual_handoff,long_horizon_compounding,contact_tail_shift,0.078,0.56,0.630912,0.41434,0.192541,0.34168,0.498831,0.568297,0.293376,0.2512,0.5032
bimanual_handoff,long_horizon_compounding,embodiment_shift,0.078,0.6,0.487072,0.331111,0.306943,0.356912,0.518144,0.593134,0.308928,0.26912,0.5168
bimanual_handoff,long_horizon_compounding,shortcut_shift,0.078,0.56,0.482608,0.327499,0.203267,0.467344,0.494121,0.551739,0.293376,0.3408,0.5032
bimanual_handoff,long_horizon_compounding,recovery_scarcity,0.078,0.62,0.553784,0.370673,0.228292,0.37976,0.566661,0.742157,0.329664,0.28256,0.5236
bimanual_handoff,long_horizon_compounding,cross_robot_morphology,0.078,0.66,0.526008,0.355406,0.314093,0.387376,0.541225,0.609692,0.391872,0.29152,0.5372
bimanual_handoff,long_horizon_compounding,heldout_exception_composition,0.078,0.74,0.605864,0.404162,0.274767,0.440688,0.582205,0.667645,0.40224,0.35424,0.5644
bimanual_handoff,long_horizon_compounding,combined_exception_stress,0.078,0.86,0.657944,0.437651,0.296218,0.459728,0.635433,0.725599,0.433344,0.37216,0.6052
bimanual_handoff,spurious_visual_shortcut,nominal_scaling,0.078,0.12,0.287872,0.147908,0.143585,0.633712,0.15274,0.225069,0.140896,0.35336,0.2912
bimanual_handoff,spurious_visual_shortcut,contact_tail_shift,0.078,0.56,0.529152,0.260881,0.165036,0.69688,0.238572,0.31121,0.171136,0.4396,0.4144
bimanual_handoff,spurious_visual_shortcut,embodiment_shift,0.078,0.6,0.408512,0.208477,0.263094,0.738992,0.247808,0.324812,0.180208,0.47096,0.4256
bimanual_handoff,spurious_visual_shortcut,shortcut_shift,0.078,0.56,0.404768,0.206203,0.174228,1.044304,0.236319,0.302143,0.171136,0.5964,0.4144
bimanual_handoff,spurious_visual_shortcut,recovery_scarcity,0.078,0.62,0.464464,0.233387,0.195679,0.80216,0.271012,0.406419,0.192304,0.49448,0.4312
bimanual_handoff,spurious_visual_shortcut,cross_robot_morphology,0.078,0.66,0.441168,0.223774,0.269222,0.823216,0.258847,0.333879,0.228592,0.51016,0.4424
bimanual_handoff,spurious_visual_shortcut,heldout_exception_composition,0.078,0.74,0.508144,0.254472,0.235515,0.970608,0.278446,0.365615,0.23464,0.61992,0.4648
bimanual_handoff,spurious_visual_shortcut,combined_exception_stress,0.078,0.86,0.551824,0.275558,0.253901,1.023248,0.303903,0.397352,0.252784,0.65128,0.4984
bimanual_handoff,recovery_scarce_failure,nominal_scaling,0.078,0.12,0.398592,0.295816,0.199424,0.35032,0.256881,0.459923,0.211344,0.232208,0.4056
bimanual_handoff,recovery_scarce_failure,contact_tail_shift,0.078,0.56,0.732672,0.521761,0.229216,0.3772,0.401234,0.635951,0.256704,0.28888,0.5772
bimanual_handoff,recovery_scarce_failure,embodiment_shift,0.078,0.6,0.565632,0.416954,0.365408,0.39512,0.416768,0.663745,0.270312,0.309488,0.5928
bimanual_handoff,recovery_scarce_failure,shortcut_shift,0.078,0.56,0.560448,0.412406,0.241984,0.52504,0.397445,0.617422,0.256704,0.39192,0.5772
bimanual_handoff,recovery_scarce_failure,recovery_scarcity,0.078,0.62,0.643104,0.466774,0.271776,0.422,0.455793,0.830509,0.288456,0.324944,0.6006
bimanual_handoff,recovery_scarce_failure,cross_robot_morphology,0.078,0.66,0.610848,0.447549,0.37392,0.43096,0.435333,0.682275,0.342888,0.335248,0.6162
bimanual_handoff,recovery_scarce_failure,heldout_exception_composition,0.078,0.74,0.703584,0.508945,0.327104,0.49368,0.468296,0.747127,0.35196,0.407376,0.6474
bimanual_handoff,recovery_scarce_failure,combined_exception_stress,0.078,0.86,0.764064,0.551116,0.35264,0.51608,0.511109,0.81198,0.379176,0.427984,0.6942
bimanual_handoff,distribution_mixture_aliasing,nominal_scaling,0.078,0.12,0.365376,0.234913,0.215378,0.549744,0.208282,0.342496,0.20128,0.474512,0.364
bimanual_handoff,distribution_mixture_aliasing,contact_tail_shift,0.078,0.56,0.671616,0.41434,0.247553,0.60216,0.325325,0.473581,0.24448,0.59032,0.518
bimanual_handoff,distribution_mixture_aliasing,embodiment_shift,0.078,0.6,0.518496,0.331111,0.394641,0.637104,0.33792,0.494278,0.25744,0.632432,0.532
bimanual_handoff,distribution_mixture_aliasing,shortcut_shift,0.078,0.56,0.513744,0.327499,0.261343,0.890448,0.322253,0.459782,0.24448,0.80088,0.518
bimanual_handoff,distribution_mixture_aliasing,recovery_scarcity,0.078,0.62,0.589512,0.370673,0.293518,0.68952,0.369562,0.618464,0.27472,0.664016,0.539
bimanual_handoff,distribution_mixture_aliasing,cross_robot_morphology,0.078,0.66,0.559944,0.355406,0.403834,0.706992,0.352973,0.508077,0.32656,0.685072,0.553
bimanual_handoff,distribution_mixture_aliasing,heldout_exception_composition,0.078,0.74,0.644952,0.404162,0.353272,0.829296,0.379699,0.556371,0.3352,0.832464,0.581
bimanual_handoff,distribution_mixture_aliasing,combined_exception_stress,0.078,0.86,0.700392,0.437651,0.380851,0.872976,0.414413,0.604666,0.36112,0.874576,0.623
bimanual_handoff,actuator_latency_shift,nominal_scaling,0.078,0.12,0.321088,0.339319,0.279194,0.318832,0.22911,0.322925,0.462944,0.212016,0.3952
bimanual_handoff,actuator_latency_shift,contact_tail_shift,0.078,0.56,0.590208,0.598491,0.320902,0.34168,0.357857,0.446519,0.562304,0.26376,0.5624
bimanual_handoff,actuator_latency_shift,embodiment_shift,0.078,0.6,0.455648,0.478271,0.511571,0.356912,0.371712,0.466034,0.592112,0.282576,0.5776
bimanual_handoff,actuator_latency_shift,shortcut_shift,0.078,0.56,0.451472,0.473054,0.338778,0.467344,0.354478,0.433509,0.562304,0.35784,0.5624
bimanual_handoff,actuator_latency_shift,recovery_scarcity,0.078,0.62,0.518056,0.535417,0.380486,0.37976,0.406518,0.583123,0.631856,0.296688,0.5852
bimanual_handoff,actuator_latency_shift,cross_robot_morphology,0.078,0.66,0.492072,0.513365,0.523488,0.387376,0.38827,0.479044,0.751088,0.306096,0.6004
bimanual_handoff,actuator_latency_shift,heldout_exception_composition,0.078,0.74,0.566776,0.583789,0.457946,0.440688,0.417669,0.524579,0.77096,0.371952,0.6308
bimanual_handoff,actuator_latency_shift,combined_exception_stress,0.078,0.86,0.615496,0.632162,0.493696,0.459728,0.455854,0.570113,0.830576,0.390768,0.6764
bimanual_handoff,mixed_exception_stress,nominal_scaling,0.078,0.12,0.487168,0.36542,0.319078,0.570736,0.298537,0.430566,0.412624,0.424032,0.468
bimanual_handoff,mixed_exception_stress,contact_tail_shift,0.078,0.56,0.895488,0.644529,0.366746,0.62584,0.466299,0.595359,0.501184,0.52752,0.666
bimanual_handoff,mixed_exception_stress,embodiment_shift,0.078,0.6,0.691328,0.515061,0.584653,0.662576,0.484352,0.621379,0.527752,0.565152,0.684
bimanual_handoff,mixed_exception_stress,shortcut_shift,0.078,0.56,0.684992,0.509443,0.387174,0.928912,0.461896,0.578012,0.501184,0.71568,0.666
bimanual_handoff,mixed_exception_stress,recovery_scarcity,0.078,0.62,0.786016,0.576603,0.434842,0.71768,0.529705,0.777498,0.563176,0.593376,0.693
bimanual_handoff,mixed_exception_stress,cross_robot_morphology,0.078,0.66,0.746592,0.552854,0.598272,0.736048,0.505928,0.638725,0.669448,0.612192,0.711
bimanual_handoff,mixed_exception_stress,heldout_exception_composition,0.078,0.74,0.859936,0.628696,0.523366,0.864624,0.544236,0.699438,0.68716,0.743904,0.747
bimanual_handoff,mixed_exception_stress,combined_exception_stress,0.078,0.86,0.933856,0.68079,0.564224,0.910544,0.593992,0.760151,0.740296,0.781536,0.801
tool_use_sequence,rare_contact_tail,nominal_scaling,0.082,0.12,0.509312,0.422431,0.113357,0.22376,0.186803,0.270883,0.130832,0.111056,0.416
tool_use_sequence,rare_contact_tail,contact_tail_shift,0.082,0.56,0.936192,0.745085,0.130291,0.2372,0.291776,0.374559,0.158912,0.13816,0.592
tool_use_sequence,rare_contact_tail,embodiment_shift,0.082,0.6,0.722752,0.595418,0.207706,0.24616,0.303072,0.390929,0.167336,0.148016,0.608
tool_use_sequence,rare_contact_tail,shortcut_shift,0.082,0.56,0.716128,0.588924,0.137549,0.31112,0.28902,0.363646,0.158912,0.18744,0.592
tool_use_sequence,rare_contact_tail,recovery_scarcity,0.082,0.62,0.821744,0.666562,0.154483,0.2596,0.331451,0.489149,0.178568,0.155408,0.616
tool_use_sequence,rare_contact_tail,cross_robot_morphology,0.082,0.66,0.780528,0.639108,0.212544,0.26408,0.316572,0.401843,0.212264,0.160336,0.632
tool_use_sequence,rare_contact_tail,heldout_exception_composition,0.082,0.74,0.899024,0.726782,0.185933,0.29544,0.340543,0.440039,0.21788,0.194832,0.664
tool_use_sequence,rare_contact_tail,combined_exception_stress,0.082,0.86,0.976304,0.787003,0.200448,0.30664,0.371676,0.478236,0.234728,0.204688,0.712
tool_use_sequence,occluded_precondition,nominal_scaling,0.082,0.12,0.254656,0.225297,0.113357,0.318224,0.231279,0.224179,0.15096,0.181728,0.3016
tool_use_sequence,occluded_precondition,contact_tail_shift,0.082,0.56,0.468096,0.397379,0.130291,0.34376,0.361246,0.30998,0.18336,0.22608,0.4292
tool_use_sequence,occluded_precondition,embodiment_shift,0.082,0.6,0.361376,0.317556,0.207706,0.360784,0.375232,0.323528,0.19308,0.242208,0.4408
tool_use_sequence,occluded_precondition,shortcut_shift,0.082,0.56,0.358064,0.314093,0.137549,0.484208,0.357835,0.300948,0.18336,0.30672,0.4292
tool_use_sequence,occluded_precondition,recovery_scarcity,0.082,0.62,0.410872,0.3555,0.154483,0.38632,0.410367,0.404813,0.20604,0.254304,0.4466
tool_use_sequence,occluded_precondition,cross_robot_morphology,0.082,0.66,0.390264,0.340858,0.212544,0.394832,0.391947,0.332559,0.24492,0.262368,0.4582
tool_use_sequence,occluded_precondition,heldout_exception_composition,0.082,0.74,0.449512,0.387617,0.185933,0.454416,0.421624,0.36417,0.2514,0.318816,0.4814
tool_use_sequence,occluded_precondition,combined_exception_stress,0.082,0.86,0.488152,0.419735,0.200448,0.475696,0.460171,0.395781,0.27084,0.334944,0.5162
tool_use_sequence,embodiment_mismatch,nominal_scaling,0.082,0.12,0.298944,0.291008,0.347628,0.318224,0.186803,0.289565,0.181152,0.222112,0.3744
tool_use_sequence,embodiment_mismatch,contact_tail_shift,0.082,0.56,0.549504,0.513281,0.39956,0.34376,0.291776,0.400391,0.220032,0.27632,0.5328
tool_use_sequence,embodiment_mismatch,embodiment_shift,0.082,0.6,0.424224,0.410177,0.636964,0.360784,0.303072,0.41789,0.231696,0.296032,0.5472
tool_use_sequence,embodiment_mismatch,shortcut_shift,0.082,0.56,0.420336,0.405703,0.421816,0.484208,0.28902,0.388725,0.220032,0.37488,0.5328
tool_use_sequence,embodiment_mismatch,recovery_scarcity,0.082,0.62,0.482328,0.459187,0.473748,0.38632,0.331451,0.522883,0.247248,0.310816,0.5544
tool_use_sequence,embodiment_mismatch,cross_robot_morphology,0.082,0.66,0.458136,0.440274,0.651802,0.394832,0.316572,0.429556,0.293904,0.320672,0.5688
tool_use_sequence,embodiment_mismatch,heldout_exception_composition,0.082,0.74,0.527688,0.500672,0.570194,0.454416,0.340543,0.470387,0.30168,0.389664,0.5976
tool_use_sequence,embodiment_mismatch,combined_exception_stress,0.082,0.86,0.573048,0.542158,0.614707,0.475696,0.371676,0.511217,0.325008,0.409376,0.6408
tool_use_sequence,long_horizon_compounding,nominal_scaling,0.082,0.12,0.343232,0.253459,0.1587,0.297232,0.409187,0.392314,0.241536,0.20192,0.3536
tool_use_sequence,long_horizon_compounding,contact_tail_shift,0.082,0.56,0.630912,0.447051,0.182408,0.32008,0.639128,0.542465,0.293376,0.2512,0.5032
tool_use_sequence,long_horizon_compounding,embodiment_shift,0.082,0.6,0.487072,0.357251,0.290788,0.335312,0.663872,0.566173,0.308928,0.26912,0.5168
tool_use_sequence,long_horizon_compounding,shortcut_shift,0.082,0.56,0.482608,0.353354,0.192568,0.445744,0.633092,0.52666,0.293376,0.3408,0.5032
tool_use_sequence,long_horizon_compounding,recovery_scarcity,0.082,0.62,0.553784,0.399937,0.216276,0.35816,0.726035,0.708422,0.329664,0.28256,0.5236
tool_use_sequence,long_horizon_compounding,cross_robot_morphology,0.082,0.66,0.526008,0.383465,0.297562,0.365776,0.693444,0.581979,0.391872,0.29152,0.5372
tool_use_sequence,long_horizon_compounding,heldout_exception_composition,0.082,0.74,0.605864,0.436069,0.260306,0.419088,0.745951,0.637298,0.40224,0.35424,0.5644
tool_use_sequence,long_horizon_compounding,combined_exception_stress,0.082,0.86,0.657944,0.472202,0.280627,0.438128,0.814148,0.692617,0.433344,0.37216,0.6052
tool_use_sequence,spurious_visual_shortcut,nominal_scaling,0.082,0.12,0.287872,0.159585,0.136028,0.612112,0.195698,0.214838,0.140896,0.35336,0.2912
tool_use_sequence,spurious_visual_shortcut,contact_tail_shift,0.082,0.56,0.529152,0.281476,0.156349,0.67528,0.30567,0.297064,0.171136,0.4396,0.4144
tool_use_sequence,spurious_visual_shortcut,embodiment_shift,0.082,0.6,0.408512,0.224936,0.249247,0.717392,0.317504,0.310047,0.180208,0.47096,0.4256
tool_use_sequence,spurious_visual_shortcut,shortcut_shift,0.082,0.56,0.404768,0.222482,0.165059,1.022704,0.302783,0.288409,0.171136,0.5964,0.4144
tool_use_sequence,spurious_visual_shortcut,recovery_scarcity,0.082,0.62,0.464464,0.251812,0.18538,0.78056,0.347234,0.387946,0.192304,0.49448,0.4312
tool_use_sequence,spurious_visual_shortcut,cross_robot_morphology,0.082,0.66,0.441168,0.241441,0.255053,0.801616,0.331647,0.318703,0.228592,0.51016,0.4424
tool_use_sequence,spurious_visual_shortcut,heldout_exception_composition,0.082,0.74,0.508144,0.274562,0.223119,0.949008,0.356759,0.348996,0.23464,0.61992,0.4648
tool_use_sequence,spurious_visual_shortcut,combined_exception_stress,0.082,0.86,0.551824,0.297312,0.240538,1.001648,0.389375,0.37929,0.252784,0.65128,0.4984
tool_use_sequence,recovery_scarce_failure,nominal_scaling,0.082,0.12,0.398592,0.31917,0.188928,0.32872,0.329128,0.439018,0.211344,0.232208,0.4056
tool_use_sequence,recovery_scarce_failure,contact_tail_shift,0.082,0.56,0.732672,0.562953,0.217152,0.3556,0.514081,0.607044,0.256704,0.28888,0.5772
tool_use_sequence,recovery_scarce_failure,embodiment_shift,0.082,0.6,0.565632,0.449872,0.346176,0.37352,0.533984,0.633575,0.270312,0.309488,0.5928
tool_use_sequence,recovery_scarce_failure,shortcut_shift,0.082,0.56,0.560448,0.444965,0.229248,0.50344,0.509227,0.589357,0.256704,0.39192,0.5772
tool_use_sequence,recovery_scarce_failure,recovery_scarcity,0.082,0.62,0.643104,0.503624,0.257472,0.4004,0.583984,0.792758,0.288456,0.324944,0.6006
tool_use_sequence,recovery_scarce_failure,cross_robot_morphology,0.082,0.66,0.610848,0.482882,0.35424,0.40936,0.557771,0.651262,0.342888,0.335248,0.6162
tool_use_sequence,recovery_scarce_failure,heldout_exception_composition,0.082,0.74,0.703584,0.549124,0.309888,0.47208,0.600004,0.713167,0.35196,0.407376,0.6474
tool_use_sequence,recovery_scarce_failure,combined_exception_stress,0.082,0.86,0.764064,0.594625,0.33408,0.49448,0.654859,0.775071,0.379176,0.427984,0.6942
tool_use_sequence,distribution_mixture_aliasing,nominal_scaling,0.082,0.12,0.365376,0.253459,0.204042,0.528144,0.266861,0.326928,0.20128,0.474512,0.364
tool_use_sequence,distribution_mixture_aliasing,contact_tail_shift,0.082,0.56,0.671616,0.447051,0.234524,0.58056,0.416822,0.452054,0.24448,0.59032,0.518
tool_use_sequence,distribution_mixture_aliasing,embodiment_shift,0.082,0.6,0.518496,0.357251,0.37387,0.615504,0.43296,0.471811,0.25744,0.632432,0.532
tool_use_sequence,distribution_mixture_aliasing,shortcut_shift,0.082,0.56,0.513744,0.353354,0.247588,0.868848,0.412886,0.438883,0.24448,0.80088,0.518
tool_use_sequence,distribution_mixture_aliasing,recovery_scarcity,0.082,0.62,0.589512,0.399937,0.27807,0.66792,0.473501,0.590352,0.27472,0.664016,0.539
tool_use_sequence,distribution_mixture_aliasing,cross_robot_morphology,0.082,0.66,0.559944,0.383465,0.382579,0.685392,0.452246,0.484982,0.32656,0.685072,0.553
tool_use_sequence,distribution_mixture_aliasing,heldout_exception_composition,0.082,0.74,0.644952,0.436069,0.334679,0.807696,0.48649,0.531082,0.3352,0.832464,0.581
tool_use_sequence,distribution_mixture_aliasing,combined_exception_stress,0.082,0.86,0.700392,0.472202,0.360806,0.851376,0.530966,0.577181,0.36112,0.874576,0.623
tool_use_sequence,actuator_latency_shift,nominal_scaling,0.082,0.12,0.321088,0.366107,0.264499,0.297232,0.293547,0.308246,0.462944,0.212016,0.3952
tool_use_sequence,actuator_latency_shift,contact_tail_shift,0.082,0.56,0.590208,0.64574,0.304013,0.32008,0.458505,0.426223,0.562304,0.26376,0.5624
tool_use_sequence,actuator_latency_shift,embodiment_shift,0.082,0.6,0.455648,0.516029,0.484646,0.335312,0.476256,0.444851,0.592112,0.282576,0.5776
